SRC_ID,DST_ID,TRACE_IDX,TX_ANTENNA_ID1,TX_SECTOR_ID1,TX_AWV_ID1,TX_ANTENNA_ID2,TX_SECTOR_ID2,TX_AWV_ID2,TX_ANTENNA_ID3,TX_SECTOR_ID3,TX_AWV_ID3,TX_ANTENNA_ID4,TX_SECTOR_ID4,TX_AWV_ID4,RX_ANTENNA_ID1,RX_SECTOR_ID1,RX_AWV_ID1,RX_ANTENNA_ID2,RX_SECTOR_ID2,RX_AWV_ID2,RX_ANTENNA_ID3,RX_SECTOR_ID3,RX_AWV_ID3,RX_ANTENNA_ID4,RX_SECTOR_ID4,RX_AWV_ID4,CAPACITY,BTRAIN
1,2,205361,1,109,255,2,99,255,3,126,255,4,81,255,1,142,255,2,141,255,3,143,255,4,115,255,13.6419208065398,0
1,2,205362,1,109,255,2,99,255,3,126,255,4,81,255,1,142,255,2,126,255,3,143,255,4,115,255,13.8776024672944,0
1,2,205363,1,126,255,2,115,255,3,110,255,4,81,255,1,143,255,2,141,255,3,142,255,4,115,255,13.9601570081737,0
1,2,205364,1,126,255,2,99,255,3,127,255,4,81,255,1,142,255,2,125,255,3,126,255,4,115,255,14.6286958212317,0
1,2,205365,1,127,255,2,99,255,3,126,255,4,82,255,1,143,255,2,126,255,3,142,255,4,115,255,15.0918890259249,0
1,2,205366,1,127,255,2,115,255,3,111,255,4,81,255,1,143,255,2,141,255,3,142,255,4,115,255,15.095705711268,0
1,2,205367,1,128,255,2,99,255,3,127,255,4,82,255,1,142,255,2,125,255,3,143,255,4,115,255,15.15067893625,0
1,2,205368,1,127,255,2,99,255,3,128,255,4,82,255,1,142,255,2,126,255,3,143,255,4,115,255,14.6931748565127,0
1,2,205369,1,112,255,2,115,255,3,111,255,4,82,255,1,143,255,2,141,255,3,142,255,4,131,255,14.4064679613634,0
1,2,205370,1,112,255,2,98,255,3,128,255,4,81,255,1,142,255,2,141,255,3,143,255,4,131,255,13.5834939390987,0
1,2,205371,1,97,255,2,115,255,3,112,255,4,81,255,1,143,255,2,141,255,3,142,255,4,131,255,13.839602456459,0
1,2,205372,1,97,255,2,115,255,3,112,255,4,98,255,1,142,255,2,141,255,3,143,255,4,130,255,12.3728230551794,0
1,2,205373,1,97,255,2,98,255,3,112,255,4,115,255,1,142,255,2,141,255,3,143,255,4,129,255,11.6877602265957,0
1,2,205374,1,113,255,2,98,255,3,128,255,4,99,255,1,143,255,2,126,255,3,142,255,4,113,255,12.8280540844086,0
1,2,205375,1,113,255,2,99,255,3,128,255,4,98,255,1,142,255,2,126,255,3,143,255,4,113,255,13.5401830117675,0
1,2,205376,1,113,255,2,99,255,3,128,255,4,98,255,1,142,255,2,126,255,3,143,255,4,144,255,13.681142160518,0
1,2,205377,1,113,255,2,98,255,3,128,255,4,99,255,1,142,255,2,141,255,3,143,255,4,127,255,13.4586307563104,0
1,2,205378,1,128,255,2,114,255,3,97,255,4,99,255,1,142,255,2,141,255,3,126,255,4,127,255,13.204876805652,0
1,2,205379,1,128,255,2,113,255,3,97,255,4,99,255,1,142,255,2,141,255,3,126,255,4,127,255,14.995148784784,0
1,2,205380,1,113,255,2,98,255,3,128,255,4,99,255,1,142,255,2,126,255,3,141,255,4,127,255,15.0002290060084,0
1,2,205381,1,97,255,2,115,255,3,113,255,4,99,255,1,126,255,2,141,255,3,142,255,4,127,255,15.2766488763199,0
1,2,205382,1,113,255,2,114,255,3,97,255,4,99,255,1,142,255,2,141,255,3,127,255,4,128,255,15.3958254485803,0
1,2,205383,1,97,255,2,114,255,3,113,255,4,99,255,1,127,255,2,141,255,3,142,255,4,128,255,15.6729409223532,0
1,2,205384,1,97,255,2,113,255,3,112,255,4,99,255,1,127,255,2,142,255,3,126,255,4,113,255,13.6776527421168,0
1,2,205385,1,113,255,2,114,255,3,97,255,4,99,255,1,142,255,2,141,255,3,127,255,4,128,255,15.1945545664893,0
1,2,205386,1,128,255,2,113,255,3,97,255,4,99,255,1,142,255,2,141,255,3,126,255,4,128,255,15.1845948544501,0
1,2,205387,1,113,255,2,98,255,3,128,255,4,99,255,1,142,255,2,126,255,3,143,255,4,128,255,15.2493781257441,0
1,2,205388,1,113,255,2,99,255,3,128,255,4,98,255,1,142,255,2,127,255,3,143,255,4,128,255,15.39611010047,0
1,2,205389,1,128,255,2,98,255,3,113,255,4,99,255,1,142,255,2,127,255,3,143,255,4,128,255,15.5762891952795,0
1,2,205390,1,97,255,2,115,255,3,112,255,4,99,255,1,127,255,2,142,255,3,143,255,4,113,255,14.680524509776,0
1,2,205391,1,113,255,2,114,255,3,97,255,4,99,255,1,142,255,2,141,255,3,127,255,4,128,255,16.1752167441022,0
1,2,205392,1,113,255,2,114,255,3,97,255,4,99,255,1,142,255,2,141,255,3,126,255,4,113,255,16.9990149287415,0
1,2,205393,1,97,255,2,115,255,3,113,255,4,99,255,1,126,255,2,141,255,3,142,255,4,128,255,16.8675014224814,0
1,2,205394,1,112,255,2,114,255,3,97,255,4,82,255,1,126,255,2,141,255,3,143,255,4,113,255,17.0789359251097,0
1,2,205395,1,97,255,2,115,255,3,112,255,4,99,255,1,127,255,2,141,255,3,142,255,4,128,255,17.0947418179725,0
1,2,205396,1,112,255,2,114,255,3,97,255,4,82,255,1,126,255,2,141,255,3,143,255,4,113,255,17.3434819678378,0
1,2,205397,1,97,255,2,114,255,3,81,255,4,99,255,1,143,255,2,141,255,3,126,255,4,113,255,17.3350329242937,0
1,2,205398,1,98,255,2,114,255,3,82,255,4,99,255,1,143,255,2,141,255,3,126,255,4,113,255,18.637890571158,0
1,2,205399,1,99,255,2,115,255,3,98,255,4,114,255,1,142,255,2,125,255,3,127,255,4,113,255,17.0914679752927,0
1,2,205400,1,98,255,2,115,255,3,99,255,4,113,255,1,142,255,2,125,255,3,127,255,4,113,255,17.361086673621,0
1,2,205401,1,98,255,2,115,255,3,99,255,4,128,255,1,126,255,2,125,255,3,142,255,4,113,255,16.5231727221394,0
1,2,205402,1,99,255,2,100,255,3,115,255,4,113,255,1,126,255,2,141,255,3,125,255,4,129,255,15.9936600757576,0
1,2,205403,1,115,255,2,99,255,3,100,255,4,113,255,1,125,255,2,141,255,3,126,255,4,130,255,15.556070834337,0
1,2,205404,1,100,255,2,115,255,3,99,255,4,128,255,1,125,255,2,141,255,3,126,255,4,131,255,15.8592728215143,0
1,2,205405,1,99,255,2,100,255,3,116,255,4,128,255,1,126,255,2,141,255,3,125,255,4,131,255,15.0245094448857,0
1,2,205406,1,100,255,2,99,255,3,116,255,4,128,255,1,126,255,2,141,255,3,125,255,4,131,255,15.1610692929764,0
1,2,205407,1,99,255,2,100,255,3,116,255,4,128,255,1,141,255,2,126,255,3,125,255,4,132,255,14.3993131841498,0
1,2,205408,1,100,255,2,99,255,3,116,255,4,128,255,1,141,255,2,126,255,3,125,255,4,132,255,14.3059626942066,0
1,2,205409,1,100,255,2,99,255,3,116,255,4,128,255,1,141,255,2,126,255,3,125,255,4,132,255,13.8150667260683,0
1,2,205410,1,99,255,2,100,255,3,116,255,4,128,255,1,126,255,2,141,255,3,125,255,4,132,255,14.1807753245781,0
1,2,205411,1,100,255,2,116,255,3,99,255,4,128,255,1,141,255,2,125,255,3,126,255,4,132,255,14.6743552654492,0
1,2,205412,1,100,255,2,116,255,3,99,255,4,128,255,1,141,255,2,125,255,3,126,255,4,132,255,14.4628627142909,0
1,2,205413,1,116,255,2,99,255,3,100,255,4,128,255,1,125,255,2,141,255,3,126,255,4,132,255,14.0336571609888,0
1,2,205414,1,100,255,2,116,255,3,99,255,4,128,255,1,126,255,2,125,255,3,141,255,4,133,255,13.0303839710122,0
1,2,205415,1,99,255,2,116,255,3,100,255,4,128,255,1,141,255,2,125,255,3,126,255,4,132,255,13.377486594326,0
1,2,205416,1,100,255,2,99,255,3,116,255,4,128,255,1,126,255,2,141,255,3,125,255,4,132,255,11.9275088240447,0
1,2,205417,1,116,255,2,100,255,3,99,255,4,128,255,1,125,255,2,142,255,3,141,255,4,132,255,12.0848135169348,0
1,2,205418,1,100,255,2,101,255,3,116,255,4,113,255,1,141,255,2,142,255,3,125,255,4,133,255,11.4770071007953,0
1,2,205419,1,100,255,2,116,255,3,101,255,4,113,255,1,141,255,2,125,255,3,142,255,4,133,255,10.9323891851366,0
